,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9403755868544601,0.8202247191011236,0.8859223300970874,0.8518086347724623,0.972106824925816
1,SB,0.9868544600938968,0.974293059125964,0.9895561357702349,0.9818652849740932,0.9940828402366864
2,SR,0.9704225352112676,0.9573033707865168,0.9063829787234042,0.9311475409836066,0.9738872403560831
3,GSVT,0.9596244131455399,0.9285714285714286,0.8900414937759336,0.9088983050847457,0.9682254196642686
4,macro avg,,0.9184299414537269,0.917975734591665,0.9200981443962584,
5,micro avg,,0.9286384976525821,0.9286384976525821,0.9286384976525821,
6,weighted avg,,0.9282712238828393,0.9289435240276257,0.9286384976525821,
7,overall,0.9286384976525821,,,,
