,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9305164319248826,0.7707865168539326,0.8817480719794345,0.8225419664268585,0.9727002967359051
1,SB,0.9849765258215962,0.9910025706940874,0.9685929648241206,0.9796696315120711,0.981508875739645
2,SR,0.9779342723004695,0.9483146067415731,0.9461883408071748,0.9472502805836138,0.9857566765578635
3,GSVT,0.9516431924882629,0.9285714285714286,0.8597194388777555,0.8928199791883455,0.9580335731414868
4,macro avg,,0.9105704644277223,0.9140622041221214,0.9096687807152555,
5,micro avg,,0.9225352112676056,0.9225352112676056,0.9225352112676056,
6,weighted avg,,0.9212316214183414,0.9221537141242865,0.9225352112676056,
7,overall,0.9225352112676056,,,,
