,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.967605633802817,0.9370786516853933,0.9104803493449781,0.9235880398671097,0.9756676557863502
1,SB,0.9873239436619718,0.9858611825192802,0.979565772669221,0.9827033952594492,0.9881656804733728
2,SR,0.9793427230046948,0.9280898876404494,0.971764705882353,0.9494252873563218,0.9928783382789318
3,GSVT,0.9652582159624413,0.922077922077922,0.9181034482758621,0.920086393088553,0.9772182254196643
4,macro avg,,0.9439507788928584,0.9449785690431035,0.9432769109807613,
5,micro avg,,0.9497652582159625,0.9497652582159625,0.9497652582159625,
6,weighted avg,,0.9498188195930468,0.9501713679888566,0.9497652582159625,
7,overall,0.9497652582159625,,,,
