,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9690140845070423,0.9348314606741573,0.9183222958057395,0.9265033407572384,0.9780415430267062
1,SB,0.9906103286384976,0.9897172236503856,0.9846547314578005,0.9871794871794872,0.9911242603550295
2,SR,0.9892018779342723,0.9730337078651685,0.9752252252252253,0.9741282339707535,0.9934718100890207
3,GSVT,0.9741784037558685,0.9285714285714286,0.9512195121951219,0.9397590361445782,0.986810551558753
4,macro avg,,0.9568925245130144,0.9573554411709718,0.9565384551902851,
5,micro avg,,0.9615023474178404,0.9615023474178404,0.9615023474178404,
6,weighted avg,,0.961490782384222,0.9615743861817344,0.9615023474178404,
7,overall,0.9615023474178404,,,,
