,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9502347417840376,0.8831460674157303,0.8791946308724832,0.8811659192825112,0.9679525222551929
1,SB,0.9755868544600939,0.9910025706940874,0.9448529411764706,0.9673776662484315,0.966715976331361
2,SR,0.9633802816901409,0.8651685393258427,0.9553349875930521,0.9080188679245284,0.9893175074183976
3,GSVT,0.9483568075117371,0.8831168831168831,0.8793103448275862,0.8812095032397408,0.9664268585131894
4,macro avg,,0.909442989173803,0.914673226117398,0.9056085151381359,
5,micro avg,,0.9187793427230047,0.9187793427230047,0.9187793427230047,
6,weighted avg,,0.9182750446690953,0.9191092243017851,0.9187793427230047,
7,overall,0.9187793427230047,,,,
