,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9342723004694836,0.7685393258426966,0.9023746701846965,0.8300970873786407,0.9780415430267062
1,SB,0.9436619718309859,0.9961439588688946,0.8688340807174888,0.9281437125748504,0.9134615384615384
2,SR,0.9333333333333333,0.7078651685393258,0.963302752293578,0.8160621761658031,0.9928783382789318
3,GSVT,0.9333333333333333,0.922077922077922,0.8007518796992481,0.8571428571428571,0.9364508393285371
4,macro avg,,0.8578614583155378,0.8838158457237529,0.8486565938322097,
5,micro avg,,0.8723004694835681,0.8723004694835681,0.8723004694835681,
6,weighted avg,,0.8688435120471882,0.8808106742826719,0.8723004694835681,
