,Rhythm Group,ACC,Recall,Precision,F1-score,specificity
0,AFIB,0.935680751173709,0.8224719101123595,0.8632075471698113,0.8423475258918297,0.9655786350148368
1,SB,0.9807511737089202,0.974293059125964,0.9730423620025674,0.9736673089274246,0.9844674556213018
2,SR,0.9694835680751174,0.9370786516853933,0.9185022026431718,0.9276974416017798,0.9780415430267062
3,GSVT,0.9572769953051643,0.9134199134199135,0.8921775898520085,0.9026737967914438,0.9694244604316546
4,macro avg,,0.9115965183031195,0.9117324254168897,0.9118158835859076,
5,micro avg,,0.9215962441314554,0.9215962441314554,0.9215962441314554,
6,weighted avg,,0.921229329106967,0.9211614285523019,0.9215962441314554,
