,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.967605633802817,0.9280898876404494,0.9177777777777778,0.9229050279329608,0.9780415430267062
1,SB,0.9910798122065728,0.9910025706940874,0.9846743295019157,0.9878283151825753,0.9911242603550295
2,SR,0.9873239436619718,0.9752808988764045,0.9644444444444444,0.9698324022346368,0.9905044510385757
3,GSVT,0.9732394366197183,0.922077922077922,0.9530201342281879,0.9372937293729373,0.987410071942446
4,macro avg,,0.9544648686807775,0.9549791714880815,0.9541128198222157,
5,micro avg,,0.9596244131455399,0.9596244131455399,0.9596244131455399,
6,weighted avg,,0.9595437974680383,0.9596060184294845,0.9596244131455399,
