,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9666666666666667,0.9191011235955057,0.9211711711711712,0.9201349831271091,0.9792284866468842
1,SB,0.9868544600938968,0.9897172236503856,0.9746835443037974,0.9821428571428571,0.985207100591716
2,SR,0.9882629107981221,0.9752808988764045,0.96875,0.9720044792833146,0.9916913946587537
3,GSVT,0.9737089201877934,0.9242424242424242,0.953125,0.9384615384615383,0.987410071942446
4,macro avg,,0.9531859645037049,0.9544324288687421,0.95208541759118,
5,micro avg,,0.9577464788732394,0.9577464788732394,0.9577464788732394,
6,weighted avg,,0.9575955091075175,0.9575880134457867,0.9577464788732394,
