,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9666666666666667,0.9303370786516854,0.9118942731277533,0.9210233592880979,0.9762611275964391
1,SB,0.9906103286384976,0.9884318766066839,0.985897435897436,0.9871630295250321,0.9918639053254438
2,SR,0.9877934272300469,0.9730337078651685,0.9686800894854586,0.9708520179372196,0.9916913946587537
3,GSVT,0.9723004694835681,0.922077922077922,0.9487750556792873,0.9352360043907794,0.9862110311750599
4,macro avg,,0.9535686027852822,0.9538117135474837,0.953470146300365,
5,micro avg,,0.9586854460093897,0.9586854460093897,0.9586854460093897,
6,weighted avg,,0.9586743727062353,0.9587877334342324,0.9586854460093897,
