,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9708920187793427,0.9325842696629213,0.9284116331096197,0.9304932735426008,0.9810089020771513
1,SB,0.9906103286384976,0.9910025706940874,0.9834183673469388,0.9871959026888605,0.9903846153846154
2,SR,0.9901408450704225,0.9730337078651685,0.9796380090497737,0.9763246899661782,0.9946587537091988
3,GSVT,0.9751173708920188,0.9372294372294372,0.9474835886214442,0.942328618063112,0.9856115107913669
4,macro avg,,0.9590856210651879,0.9597378995319441,0.9584624963629036,
5,micro avg,,0.9633802816901409,0.9633802816901409,0.9633802816901409,
6,weighted avg,,0.9633465857269943,0.9633422528168806,0.9633802816901409,
