,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9765100671140939,0.948220064724919,0.9391025641025641,0.9436392914653784,0.9839119390347163
1,SB,0.9919463087248322,0.988135593220339,0.9914965986394558,0.9898132427843803,0.9944444444444445
2,SR,0.9865771812080537,0.9720101781170484,0.9769820971867008,0.9744897959183674,0.99179580674567
3,GSVT,0.9818791946308725,0.9343434343434344,0.9296482412060302,0.9319899244332494,0.9891640866873065
4,macro avg,,0.9599830636503438,0.9593073752836877,0.9606773176014352,
5,micro avg,,0.9684563758389262,0.9684563758389262,0.9684563758389262,
6,weighted avg,,0.9685119792881128,0.9685838935960661,0.9684563758389262,
