,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9758389261744966,0.9320388349514563,0.9504950495049505,0.9411764705882353,0.9872988992379339
1,SB,0.9906040268456375,0.988135593220339,0.988135593220339,0.988135593220339,0.9922222222222222
2,SR,0.9859060402684564,0.9694656488549618,0.9769230769230769,0.9731800766283524,0.99179580674567
3,GSVT,0.9818791946308725,0.9545454545454546,0.9130434782608695,0.9333333333333332,0.9860681114551083
4,macro avg,,0.958956368442565,0.957149299477309,0.9610463828930529,
5,micro avg,,0.9671140939597316,0.9671140939597316,0.9671140939597316,
6,weighted avg,,0.9671699996823538,0.9673935222976181,0.9671140939597316,
