,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9690140845070423,0.9348314606741573,0.9183222958057395,0.9265033407572384,0.9780415430267062
1,SB,0.9915492957746479,0.9897172236503856,0.9871794871794872,0.988446726572529,0.992603550295858
2,SR,0.9868544600938968,0.9730337078651685,0.9643652561247216,0.9686800894854586,0.9905044510385757
3,GSVT,0.9746478873239437,0.9264069264069265,0.9553571428571429,0.9406593406593406,0.988009592326139
4,macro avg,,0.9560723743686417,0.9563060454917728,0.9559973296491595,
5,micro avg,,0.9610328638497653,0.9610328638497653,0.9610328638497653,
6,weighted avg,,0.9610107019324146,0.9611251650867119,0.9610328638497653,
