,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9778523489932885,0.9579288025889967,0.9367088607594937,0.9471999999999999,0.983065198983912
1,SB,0.9932885906040269,0.9898305084745763,0.9931972789115646,0.9915110356536503,0.9955555555555555
2,SR,0.9859060402684564,0.9694656488549618,0.9769230769230769,0.9731800766283524,0.99179580674567
3,GSVT,0.9838926174496644,0.9343434343434344,0.9438775510204082,0.9390862944162437,0.9914860681114551
4,macro avg,,0.9627443516745617,0.9626766919036358,0.9628920985654923,
5,micro avg,,0.9704697986577181,0.9704697986577181,0.9704697986577181,
6,weighted avg,,0.9705202466073908,0.9706362126612863,0.9704697986577181,
