,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9640804597701149,0.9128440366972477,0.9149425287356322,0.9138920780711826,0.9776029055690073
1,SB,0.9918582375478927,0.9858064516129033,0.9922077922077922,0.9889967637540452,0.9954303122619954
2,SR,0.985632183908046,0.9707207207207207,0.9620535714285714,0.9663677130044843,0.9896593673965937
3,GSVT,0.9731800766283525,0.9376443418013857,0.9333333333333333,0.935483870967742,0.9824773413897281
4,macro avg,,0.9511851064493635,0.9506343064263323,0.9517538877080644,
5,micro avg,,0.9573754789272031,0.9573754789272031,0.9573754789272031,
6,weighted avg,,0.9574047982047145,0.9574526343569894,0.9573754789272031,
