,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9758389261744966,0.919093851132686,0.9627118644067797,0.9403973509933774,0.9906858594411516
1,SB,0.991275167785235,0.988135593220339,0.9898132427843803,0.9889737065309584,0.9933333333333333
2,SR,0.9859060402684564,0.9720101781170484,0.9744897959183674,0.9732484076433121,0.9908842297174111
3,GSVT,0.9731543624161074,0.9393939393939394,0.8691588785046729,0.9029126213592232,0.978328173374613
4,macro avg,,0.9513830216317178,0.9490434454035501,0.9546583904660032,
5,micro avg,,0.9630872483221476,0.9630872483221476,0.9630872483221476,
6,weighted avg,,0.9633158332504475,0.9641179376404851,0.9630872483221476,
