,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9765100671140939,0.9385113268608414,0.9477124183006536,0.9430894308943089,0.9864521591871296
1,SB,0.991275167785235,0.9847457627118644,0.9931623931623932,0.9889361702127659,0.9955555555555555
2,SR,0.9879194630872483,0.9796437659033079,0.9746835443037974,0.9771573604060914,0.9908842297174111
3,GSVT,0.978523489932886,0.9343434343434344,0.9068627450980392,0.9203980099502487,0.9852941176470589
4,macro avg,,0.9573952428658538,0.9556052752162209,0.9593110724548619,
5,micro avg,,0.9671140939597316,0.9671140939597316,0.9671140939597316,
6,weighted avg,,0.9672138410614877,0.9673949031285355,0.9671140939597316,
