,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9516283524904214,0.8646788990825688,0.8997613365155132,0.8818713450292398,0.9745762711864406
1,SB,0.9894636015325671,0.9909677419354839,0.9808429118773946,0.9858793324775352,0.9885757806549885
2,SR,0.978448275862069,0.9662162162162162,0.934640522875817,0.9501661129568106,0.9817518248175182
3,GSVT,0.9683908045977011,0.9168591224018475,0.9297423887587822,0.9232558139534883,0.9818731117824774
4,macro avg,,0.9352931511042685,0.9362467900068767,0.934680494909029,
5,micro avg,,0.9439655172413793,0.9439655172413793,0.9439655172413793,
6,weighted avg,,0.9435804170007293,0.9434904434459579,0.9439655172413793,
