,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9690140845070423,0.9370786516853933,0.9164835164835164,0.9266666666666667,0.9774480712166173
1,SB,0.9906103286384976,0.9884318766066839,0.985897435897436,0.9871630295250321,0.9918639053254438
2,SR,0.9882629107981221,0.9752808988764045,0.96875,0.9720044792833146,0.9916913946587537
3,GSVT,0.9741784037558685,0.9242424242424242,0.9552572706935123,0.9394939493949395,0.988009592326139
4,macro avg,,0.9563320312174881,0.9565970557686161,0.9562584628527265,
5,micro avg,,0.9610328638497653,0.9610328638497653,0.9610328638497653,
6,weighted avg,,0.9610177002529008,0.9611671263022408,0.9610328638497653,
