,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.968075117370892,0.9303370786516854,0.917960088691796,0.9241071428571429,0.9780415430267062
1,SB,0.9915492957746479,0.9897172236503856,0.9871794871794872,0.988446726572529,0.992603550295858
2,SR,0.9887323943661972,0.9752808988764045,0.970917225950783,0.9730941704035874,0.9922848664688427
3,GSVT,0.971830985915493,0.9242424242424242,0.9446902654867256,0.9343544857768052,0.9850119904076738
4,macro avg,,0.9550006314025161,0.9551867668271979,0.9548944063552249,
5,micro avg,,0.960093896713615,0.960093896713615,0.960093896713615,
6,weighted avg,,0.960064746527388,0.9601046707495099,0.960093896713615,
