,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9791946308724833,0.9611650485436893,0.939873417721519,0.9504,0.9839119390347163
1,SB,0.9932885906040269,0.9932203389830508,0.9898648648648649,0.9915397631133671,0.9933333333333333
2,SR,0.9865771812080537,0.9720101781170484,0.9769820971867008,0.9744897959183674,0.99179580674567
3,GSVT,0.9859060402684564,0.9292929292929293,0.9633507853403142,0.9460154241645244,0.9945820433436533
4,macro avg,,0.9656112457990648,0.9675177912783498,0.9639221237341795,
5,micro avg,,0.9724832214765101,0.9724832214765101,0.9724832214765101,
6,weighted avg,,0.9724614792062959,0.9725762255288425,0.9724832214765101,
