,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9946308724832215,0.9902912621359223,0.9839228295819936,0.9870967741935485,0.995766299745978
1,SB,0.9986577181208054,0.9983050847457627,0.9983050847457627,0.9983050847457627,0.9988888888888889
2,SR,0.9959731543624161,0.989821882951654,0.9948849104859335,0.9923469387755102,0.9981768459434822
3,GSVT,0.9959731543624161,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.9976780185758514
4,macro avg,,0.9906493206408266,0.9904903274155437,0.990816678670456,
5,micro avg,,0.9926174496644296,0.9926174496644296,0.9926174496644296,
6,weighted avg,,0.99262097326482,0.9926321638669852,0.9926174496644296,
