,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9690140845070423,0.9370786516853933,0.9164835164835164,0.9266666666666667,0.9774480712166173
1,SB,0.992018779342723,0.993573264781491,0.9847133757961783,0.9891234804862444,0.9911242603550295
2,SR,0.9845070422535211,0.9573033707865168,0.9681818181818181,0.9627118644067796,0.9916913946587537
3,GSVT,0.9765258215962441,0.9329004329004329,0.9577777777777777,0.9451754385964911,0.9886091127098321
4,macro avg,,0.9559193625390454,0.9567891220598227,0.9552139300384586,
5,micro avg,,0.9610328638497653,0.9610328638497653,0.9610328638497653,
6,weighted avg,,0.9610246792382915,0.9611626355064947,0.9610328638497653,
