,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.7910798122065728,0.0044943820224719105,0.5,0.0089086859688196,0.998813056379822
1,SB,0.3657276995305164,0.9974293059125964,0.36517647058823527,0.5346193592834998,0.0022189349112426036
2,SR,0.7906103286384977,0.0,0.0,,0.9994065281899109
3,GSVT,0.7830985915492957,0.0,,,1.0
4,macro avg,,0.13588201131307984,0.2162941176470588,0.2504809219837671,
5,micro avg,,0.3652582159624413,0.3652582159624413,0.3652582159624413,
6,weighted avg,,0.19713531773647303,0.23784380005523334,0.3652582159624413,
