,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9586854460093897,0.903370786516854,0.8993288590604027,0.9013452914798207,0.973293768545994
1,SB,0.9901408450704225,0.9884318766066839,0.9846350832266325,0.986529826812059,0.9911242603550295
2,SR,0.9859154929577465,0.9662921348314607,0.9662921348314607,0.9662921348314607,0.9910979228486647
3,GSVT,0.9694835680751174,0.9242424242424242,0.9343544857768052,0.9292709466811752,0.9820143884892086
4,macro avg,,0.9458595499511289,0.9461526407238253,0.9455843055493557,
5,micro avg,,0.952112676056338,0.952112676056338,0.952112676056338,
6,weighted avg,,0.952085463537561,0.9520747462258606,0.952112676056338,
