,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9422894985808893,0.8826185101580135,0.8481561822125814,0.8650442477876107,0.9581089168162776
1,SB,0.9806054872280038,0.967866323907455,0.9791937581274383,0.9734970911441501,0.9880239520958084
2,SR,0.9796594134342479,0.9415730337078652,0.9610091743119266,0.9511918274687854,0.9898142600359496
3,GSVT,0.9706717123935666,0.9308035714285714,0.9308035714285714,0.9308035714285714,0.9813925570228091
4,macro avg,,0.9301341844572795,0.9297906715201294,0.9307153598004763,
5,micro avg,,0.9366130558183539,0.9366130558183539,0.9366130558183539,
6,weighted avg,,0.9370272951294559,0.9376513789555949,0.9366130558183539,
