,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9636015325670498,0.9174311926605505,0.9090909090909091,0.9132420091324202,0.9757869249394673
1,SB,0.9918582375478927,0.9870967741935484,0.9909326424870466,0.989010989010989,0.9946686976389947
2,SR,0.9865900383141762,0.9707207207207207,0.9663677130044843,0.9685393258426966,0.9908759124087592
3,GSVT,0.9698275862068966,0.9237875288683602,0.9302325581395349,0.9269988412514484,0.9818731117824774
4,macro avg,,0.9494477913093886,0.9491559556804937,0.9497590541107949,
5,micro avg,,0.9559386973180076,0.9559386973180076,0.9559386973180076,
6,weighted avg,,0.9559765284488918,0.9560317991089593,0.9559386973180076,
