,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9655172413793104,0.9151376146788991,0.9193548387096774,0.9172413793103448,0.9788135593220338
1,SB,0.9923371647509579,0.9883870967741936,0.9909443725743855,0.9896640826873385,0.9946686976389947
2,SR,0.9880268199233716,0.9774774774774775,0.9665924276169265,0.9720044792833147,0.9908759124087592
3,GSVT,0.9707854406130269,0.9284064665127021,0.9305555555555556,0.9294797687861271,0.9818731117824774
4,macro avg,,0.9520974275167813,0.9518617986141362,0.9523521638608181,
5,micro avg,,0.9583333333333334,0.9583333333333334,0.9583333333333334,
6,weighted avg,,0.9583053803391678,0.9582941531800954,0.9583333333333334,
