,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9671361502347418,0.9258426966292135,0.9175946547884187,0.9217002237136466,0.9780415430267062
1,SB,0.9910798122065728,0.9897172236503856,0.9859154929577465,0.9878127004490058,0.9918639053254438
2,SR,0.9868544600938968,0.9707865168539326,0.9664429530201343,0.968609865470852,0.9910979228486647
3,GSVT,0.9713615023474178,0.9242424242424242,0.9426048565121413,0.9333333333333333,0.9844124700239808
4,macro avg,,0.9528640307417096,0.9531394893196102,0.952647215343989,
5,micro avg,,0.9582159624413146,0.9582159624413146,0.9582159624413146,
6,weighted avg,,0.9581719580452716,0.9581795458706771,0.9582159624413146,
