,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9778523489932885,0.9546925566343042,0.9394904458598726,0.9470304975922953,0.9839119390347163
1,SB,0.9926174496644296,0.9915254237288136,0.9898477157360406,0.9906858594411516,0.9933333333333333
2,SR,0.9859060402684564,0.9720101781170484,0.9744897959183674,0.9732484076433121,0.9908842297174111
3,GSVT,0.9845637583892617,0.9292929292929293,0.9533678756476683,0.9411764705882352,0.9930340557275542
4,macro avg,,0.9630353088162487,0.9642989582904872,0.9618802719432737,
5,micro avg,,0.9704697986577181,0.9704697986577181,0.9704697986577181,
6,weighted avg,,0.9704541249708662,0.9705060598853162,0.9704697986577181,
