,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9592911877394636,0.8922018348623854,0.9110070257611241,0.9015063731170336,0.9769975786924939
1,SB,0.9899425287356322,0.984516129032258,0.9883419689119171,0.9864253393665159,0.9931454683929931
2,SR,0.9808429118773946,0.963963963963964,0.9469026548672567,0.9553571428571428,0.9854014598540146
3,GSVT,0.9683908045977011,0.9284064665127021,0.919908466819222,0.9241379310344828,0.9788519637462235
4,macro avg,,0.9418566965937938,0.9415400290898799,0.9422720985928273,
5,micro avg,,0.9492337164750958,0.9492337164750958,0.9492337164750958,
6,weighted avg,,0.9491698813479784,0.9491902461840858,0.9492337164750958,
