,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9758389261744966,0.948220064724919,0.9361022364217252,0.9421221864951769,0.983065198983912
1,SB,0.991275167785235,0.988135593220339,0.9898132427843803,0.9889737065309584,0.9933333333333333
2,SR,0.9865771812080537,0.9720101781170484,0.9769820971867008,0.9744897959183674,0.99179580674567
3,GSVT,0.9832214765100671,0.9343434343434344,0.9390862944162437,0.9367088607594937,0.9907120743034056
4,macro avg,,0.9605736374259991,0.9604959677022624,0.9606773176014352,
5,micro avg,,0.9684563758389262,0.9684563758389262,0.9684563758389262,
6,weighted avg,,0.968492004501056,0.9685492985140183,0.9684563758389262,
