,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9671361502347418,0.9258426966292135,0.9175946547884187,0.9217002237136466,0.9780415430267062
1,SB,0.9910798122065728,0.9897172236503856,0.9859154929577465,0.9878127004490058,0.9918639053254438
2,SR,0.9892018779342723,0.9730337078651685,0.9752252252252253,0.9741282339707535,0.9934718100890207
3,GSVT,0.9708920187793427,0.9264069264069265,0.9385964912280702,0.9324618736383443,0.9832134292565947
4,macro avg,,0.9540257579429376,0.9543329660498652,0.9537501386379235,
5,micro avg,,0.9591549295774648,0.9591549295774648,0.9591549295774648,
6,weighted avg,,0.9591358357933333,0.9591449197533176,0.9591549295774648,
