,Rhythm Group,ACC,Recall,Precision,F1-score,specificity
0,AFIB,0.9778523489932885,0.9668874172185431,0.926984126984127,0.946515397082658,0.9806397306397306
1,SB,0.9892617449664429,0.9871382636655949,0.9871382636655949,0.9871382636655949,0.9907834101382489
2,SR,0.9838926174496644,0.9641025641025641,0.9740932642487047,0.9690721649484536,0.990909090909091
3,GSVT,0.9899328859060402,0.9318181818181818,0.9820359281437125,0.9562682215743439,0.997716894977169
4,macro avg,,0.962486606701221,0.9675628957605347,0.9647485118177626,
5,micro avg,,0.9704697986577181,0.9704697986577181,0.9704697986577181,
6,weighted avg,,0.9704697986577181,0.9709287937983185,0.9705295310375464,
