,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9713615023474178,0.9348314606741573,0.9285714285714286,0.931690929451288,0.9810089020771513
1,SB,0.9915492957746479,0.9910025706940874,0.9859335038363172,0.9884615384615385,0.9918639053254438
2,SR,0.9901408450704225,0.9730337078651685,0.9796380090497737,0.9763246899661782,0.9946587537091988
3,GSVT,0.9746478873239437,0.9372294372294372,0.9454148471615721,0.9413043478260869,0.9850119904076738
4,macro avg,,0.9594453764262729,0.9598894471547729,0.9590242941157126,
5,micro avg,,0.963849765258216,0.963849765258216,0.963849765258216,
6,weighted avg,,0.9638369184316908,0.963845598645416,0.963849765258216,
