,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.964319248826291,0.9146067415730337,0.9146067415730337,0.9146067415730337,0.9774480712166173
1,SB,0.9901408450704225,0.9897172236503856,0.9833971902937421,0.9865470852017938,0.9903846153846154
2,SR,0.9868544600938968,0.9707865168539326,0.9664429530201343,0.968609865470852,0.9910979228486647
3,GSVT,0.9704225352112676,0.9242424242424242,0.9384615384615385,0.9312977099236641,0.9832134292565947
4,macro avg,,0.9502653505423359,0.9507271058371121,0.949838226579944,
5,micro avg,,0.955868544600939,0.955868544600939,0.955868544600939,
6,weighted avg,,0.9557861804724214,0.9557367882214657,0.955868544600939,
