,Rhythm Group,ACC,Recall,Precision,F1-score,specificity
0,AFIB,0.9704225352112676,0.9303370786516854,0.9282511210762332,0.9292929292929293,0.9810089020771513
1,SB,0.9859154929577465,0.9897172236503856,0.9722222222222222,0.9808917197452229,0.9837278106508875
2,SR,0.9769953051643192,0.9303370786516854,0.9583333333333334,0.944127708095781,0.9893175074183976
3,GSVT,0.971830985915493,0.9329004329004329,0.9369565217391305,0.9349240780911063,0.9826139088729017
4,macro avg,,0.94730910880626,0.9489407995927298,0.9458229534635473,
5,micro avg,,0.9525821596244132,0.9525821596244132,0.9525821596244132,
6,weighted avg,,0.9524605003182398,0.9524849221336263,0.9525821596244132,
