,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9492957746478873,0.8898876404494382,0.8703296703296703,0.88,0.9649851632047478
1,SB,0.9906103286384976,0.9922879177377892,0.9821882951653944,0.9872122762148338,0.9896449704142012
2,SR,0.9751173708920188,0.9325842696629213,0.9474885844748858,0.9399773499433749,0.9863501483679525
3,GSVT,0.9666666666666667,0.9112554112554112,0.9334811529933481,0.9222343921139101,0.9820143884892086
4,macro avg,,0.9323560045680297,0.9333719257408247,0.93150380977639,
5,micro avg,,0.9408450704225352,0.9408450704225352,0.9408450704225352,
6,weighted avg,,0.9408513430875912,0.9410046524458362,0.9408450704225352,
