,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9666666666666667,0.9280898876404494,0.9137168141592921,0.9208472686733556,0.9768545994065282
1,SB,0.9910798122065728,0.9910025706940874,0.9846743295019157,0.9878283151825753,0.9911242603550295
2,SR,0.9873239436619718,0.9707865168539326,0.968609865470852,0.9696969696969697,0.9916913946587537
3,GSVT,0.9704225352112676,0.9177489177489178,0.9443207126948775,0.9308452250274423,0.9850119904076738
4,macro avg,,0.9523044446450857,0.9528304304567343,0.9519069732343468,
5,micro avg,,0.9577464788732394,0.9577464788732394,0.9577464788732394,
6,weighted avg,,0.9576869057509468,0.9577409249074826,0.9577464788732394,
