,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9699530516431925,0.9258426966292135,0.9300225733634312,0.9279279279279279,0.9816023738872404
1,SB,0.992018779342723,0.9922879177377892,0.9859514687100894,0.9891095451633568,0.9918639053254438
2,SR,0.9896713615023475,0.9752808988764045,0.9752808988764045,0.9752808988764045,0.9934718100890207
3,GSVT,0.9723004694835681,0.9329004329004329,0.9389978213507625,0.9359391965255156,0.9832134292565947
4,macro avg,,0.9570643921233012,0.9575631905751719,0.95657798653596,
5,micro avg,,0.9619718309859155,0.9619718309859155,0.9619718309859155,
6,weighted avg,,0.9619056633144637,0.9618531836935346,0.9619718309859155,
