,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9633802816901409,0.9078651685393259,0.9160997732426304,0.9119638826185102,0.9780415430267062
1,SB,0.9896713615023475,0.9858611825192802,0.9858611825192802,0.9858611825192802,0.9918639053254438
2,SR,0.9887323943661972,0.9775280898876404,0.9688195991091314,0.9731543624161073,0.9916913946587537
3,GSVT,0.968075117370892,0.9264069264069265,0.9264069264069265,0.9264069264069265,0.9796163069544365
4,macro avg,,0.949346588490206,0.9492968703194921,0.9494153418382932,
5,micro avg,,0.9549295774647887,0.9549295774647887,0.9549295774647887,
6,weighted avg,,0.9548721216152134,0.9548305730969644,0.9549295774647887,
