,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9671361502347418,0.9011235955056179,0.9391100702576113,0.9197247706422018,0.9845697329376855
1,SB,0.9910798122065728,0.9948586118251928,0.9809885931558935,0.9878749202297383,0.988905325443787
2,SR,0.9882629107981221,0.9707865168539326,0.972972972972973,0.9718785151856018,0.9928783382789318
3,GSVT,0.971830985915493,0.9437229437229437,0.9276595744680851,0.9356223175965664,0.9796163069544365
4,macro avg,,0.9537751309135272,0.9551828027136406,0.9526229169769218,
5,micro avg,,0.9591549295774648,0.9591549295774648,0.9591549295774648,
6,weighted avg,,0.9589613431275693,0.9589975601488969,0.9591549295774648,
